Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
8/1/2022,$99.38,$99.81,$98.09,$98.84,$97.76,1994000,$97.16,$97.60,$96.75,$97.26,$96.26,453800,,,,,,,,,,,,,,,8/1/2022,1994000,1994000
8/2/2022,$98.63,$98.98,$97.39,$98.04,$96.97,585800,$96.35,$97.32,$96.00,$96.49,$95.50,552200,,,,,,,,,,,,,,,8/2/2022,585800,585800
8/3/2022,$98.19,$99.77,$98.04,$99.25,$98.17,475500,$97.13,$98.79,$96.94,$98.36,$97.35,720600,,,,,,,,,,,,,,,8/3/2022,475500,475500
8/4/2022,$99.26,$99.27,$98.29,$98.76,$97.69,362000,$98.26,$98.42,$97.58,$98.37,$97.36,1099600,,,,,,,,,,,,,,,8/4/2022,362000,362000
8/5/2022,$98.09,$98.98,$97.83,$98.97,$97.89,405300,$97.73,$97.98,$97.14,$97.77,$96.76,410700,,,,,,,,,,,,,,,8/5/2022,405300,405300
8/8/2022,$99.74,$100.00,$99.04,$99.35,$98.27,335700,$98.48,$98.48,$96.80,$96.90,$95.90,560200,,,,,,,,,,,,,,,8/8/2022,335700,335700
8/9/2022,$99.20,$99.43,$98.03,$98.51,$97.44,906500,$96.91,$97.09,$95.94,$96.36,$95.37,619700,,,,,,,,,,,,,,,8/9/2022,906500,906500
8/10/2022,$99.85,$101.64,$99.85,$101.09,$99.99,583800,$97.54,$98.95,$97.40,$98.45,$97.44,659800,,,,,,,,,,,,,,,8/10/2022,583800,583800
8/11/2022,$101.84,$102.62,$101.70,$102.01,$100.90,326800,$99.02,$99.80,$98.96,$99.34,$98.32,416700,,,,,,,,,,,,,,,8/11/2022,326800,326800
8/12/2022,$102.42,$104.15,$102.18,$103.91,$102.78,464600,$99.75,$100.45,$99.20,$100.26,$99.23,593100,,,,,,,,,,,,,,,8/12/2022,464600,464600
8/15/2022,$102.56,$103.54,$101.98,$103.34,$102.22,357700,$98.97,$99.62,$98.49,$99.54,$98.52,497800,,,,,,,,,,,,,,,8/15/2022,357700,357700
8/16/2022,$103.09,$105.40,$103.09,$105.16,$104.02,497900,$99.50,$100.98,$99.35,$100.70,$99.66,534600,,,,,,,,,,,,,,,8/16/2022,497900,497900
8/17/2022,$103.87,$104.60,$103.57,$104.32,$103.18,385000,$99.75,$100.27,$99.36,$100.00,$98.97,541200,,,,,,,,,,,,,,,8/17/2022,385000,385000
8/18/2022,$104.16,$105.23,$103.99,$104.87,$103.73,592700,$100.38,$100.50,$99.92,$100.21,$99.18,374900,,,,,,,,,,,,,,,8/18/2022,592700,592700
