Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
6/22/2022,$97.05,$97.40,$96.41,$96.73,$94.64,491800,$96.84,$97.50,$96.12,$96.74,$94.75,1054200,,,,,,,,,,,,,,,6/22/2022,491800,491800
6/23/2022,$96.50,$96.74,$93.43,$93.85,$91.82,695200,$96.48,$96.72,$94.23,$94.97,$93.02,902400,,,,,,,,,,,,,,,6/23/2022,695200,695200
6/24/2022,$94.62,$96.03,$94.22,$95.52,$93.45,557800,$95.50,$96.76,$95.31,$96.48,$94.50,1102000,,,,,,,,,,,,,,,6/24/2022,557800,557800
6/27/2022,$95.94,$96.95,$95.46,$96.73,$94.64,400800,$96.90,$97.48,$96.07,$96.86,$94.87,871700,,,,,,,,,,,,,,,6/27/2022,400800,400800
6/28/2022,$97.59,$98.49,$96.41,$96.81,$94.71,486600,$97.60,$98.73,$96.90,$97.31,$95.31,792300,,,,,,,,,,,,,,,6/28/2022,486600,486600
6/29/2022,$97.17,$97.17,$95.86,$96.35,$94.26,391100,$97.54,$98.32,$97.10,$97.68,$95.67,798300,,,,,,,,,,,,,,,6/29/2022,391100,391100
6/30/2022,$94.99,$96.38,$94.26,$96.17,$94.09,596600,$96.68,$97.05,$95.63,$96.82,$94.83,996100,,,,,,,,,,,,,,,6/30/2022,596600,596600
7/1/2022,$95.80,$97.26,$95.24,$96.97,$94.87,397200,$96.42,$97.81,$96.01,$97.45,$95.45,623500,,,,,,,,,,,,,,,7/1/2022,397200,397200
7/5/2022,$95.19,$95.51,$93.10,$94.83,$92.78,684700,$96.16,$96.50,$94.29,$95.77,$93.80,995500,,,,,,,,,,,,,,,7/5/2022,684700,684700
7/6/2022,$94.59,$95.69,$93.66,$95.42,$93.35,573500,$95.81,$96.45,$95.08,$96.25,$94.27,775100,,,,,,,,,,,,,,,7/6/2022,573500,573500
7/7/2022,$96.39,$97.77,$96.31,$97.33,$95.22,521100,$96.95,$98.77,$96.89,$98.24,$96.22,850300,,,,,,,,,,,,,,,7/7/2022,521100,521100
7/8/2022,$97.68,$98.02,$96.57,$97.48,$95.37,465900,$98.24,$99.15,$97.91,$98.42,$96.40,616600,,,,,,,,,,,,,,,7/8/2022,465900,465900
7/11/2022,$96.51,$96.92,$95.94,$96.59,$94.50,531100,$97.75,$98.20,$97.02,$97.92,$95.91,1007100,,,,,,,,,,,,,,,7/11/2022,531100,531100
7/12/2022,$95.71,$97.17,$95.71,$96.18,$94.10,572200,$97.38,$99.06,$97.18,$98.01,$96.00,885900,,,,,,,,,,,,,,,7/12/2022,572200,572200
7/13/2022,$95.31,$95.65,$94.00,$94.92,$92.87,689400,$97.47,$97.68,$95.95,$97.38,$95.38,1046500,,,,,,,,,,,,,,,7/13/2022,689400,689400
7/14/2022,$92.76,$92.76,$90.44,$91.10,$89.13,793100,$95.03,$95.09,$90.93,$91.09,$89.22,2289800,,,,,,,,,,,,,,,7/14/2022,793100,793100
